customerid,churn,customer_tenure,account_contract,account_charges_monthly,account_charges_total,internet_internetservice,internet_onlinesecurity,internet_techsupport,internet_deviceprotection,cuentas_diarias
0002-ORFBO,0,9,One year,65.6,593.3,DSL,0,1,0,2.19
0003-MKNFE,0,9,Month-to-month,59.9,542.4,DSL,0,0,0,2.0
0004-TLHLJ,1,4,Month-to-month,73.9,280.85,Fiber optic,0,0,1,2.46
0011-IGKFF,1,13,Month-to-month,98.0,1237.85,Fiber optic,0,0,1,3.27
0013-EXCHZ,1,3,Month-to-month,83.9,267.4,Fiber optic,0,1,0,2.8
0013-MHZWF,0,9,Month-to-month,69.4,571.45,DSL,0,1,0,2.31
0013-SMEOE,0,71,Two year,109.7,7904.25,Fiber optic,1,1,1,3.66
0014-BMAQU,0,63,Two year,84.65,5377.8,Fiber optic,1,1,0,2.82
0015-UOCOJ,0,7,Month-to-month,48.2,340.35,DSL,1,0,0,1.61
0016-QLJIS,0,65,Two year,90.45,5957.9,DSL,1,1,1,3.02
0017-DINOC,0,54,Two year,45.2,2460.55,DSL,1,1,0,1.51
0017-IUDMW,0,72,Two year,116.8,8456.75,Fiber optic,1,1,1,3.89
0018-NYROU,0,5,Month-to-month,68.95,351.5,Fiber optic,0,0,0,2.3
0019-EFAEP,0,72,Two year,101.3,7261.25,Fiber optic,1,0,1,3.38
0019-GFNTW,0,56,Two year,45.05,2560.1,DSL,1,1,1,1.5
0020-INWCK,0,71,Two year,95.75,6849.4,Fiber optic,0,0,1,3.19
0020-JDNXP,0,34,One year,61.25,1993.2,DSL,1,1,1,2.04
0021-IKXGC,0,1,Month-to-month,72.1,72.1,Fiber optic,0,0,0,2.4
0022-TCJCI,1,45,One year,62.7,2791.5,DSL,1,0,1,2.09
0023-HGHWL,1,1,Month-to-month,25.1,25.1,DSL,0,0,0,0.84
0023-UYUPN,0,50,One year,25.2,1306.3,No,0,0,0,0.84
0023-XUOPT,1,13,Month-to-month,94.1,1215.6,Fiber optic,0,0,1,3.14
0027-KWYKW,0,23,Month-to-month,83.75,1849.95,Fiber optic,0,0,0,2.79
0030-FNXPP,0,3,Month-to-month,19.85,57.2,No,0,0,0,0.66
0031-PVLZI,1,4,Month-to-month,20.35,76.35,No,0,0,0,0.68
0032-PGELS,1,1,Month-to-month,30.5,30.5,DSL,1,0,0,1.02
0036-IHMOT,0,55,One year,103.7,5656.75,Fiber optic,0,1,1,3.46
0040-HALCW,0,54,Two year,20.4,1090.6,No,0,0,0,0.68
0042-JVWOJ,0,26,One year,19.6,471.85,No,0,0,0,0.65
